source,target,percentage
fox group legal,auroravid.to,0.143283802
fox group legal,bitvid.sx,0.072070895
fox group legal,cloudtime.to,0.113935951
fox group legal,daclips.com,0
fox group legal,daclips.in,16.35518022
fox group legal,divxstage.to,0
fox group legal,estream.to,1.719864006
fox group legal,gorillavid.com,0
fox group legal,gorillavid.in,32.82272147
fox group legal,movpod.in,13.75572692
fox group legal,movpod.net,0
fox group legal,movshare.net,0
fox group legal,novamov.com,0
fox group legal,nowvideo.sx,0.509033015
fox group legal,openload.co,0.002115584
fox group legal,speedvid.net,0.254351962
fox group legal,streamango.com,5.022854771
fox group legal,streamin.to,2.130381326
fox group legal,streamplay.to,2.328564533
fox group legal,thevideobee.to,1.17532E-05
fox group legal,thevideo.me,6.367402424
fox group legal,veehd.com,0
fox group legal,veoh.com,0
fox group legal,vidlox.tv,1.50248775
fox group legal,vidtodo.com,0.752007836
fox group legal,vidto.me,3.387285035
fox group legal,vidup.me,4.080174051
fox group legal,vidzi.tv,6.917383742
fox group legal,watchers.to,1.763162958
markmonitor antipiracy,auroravid.to,2.109411633
markmonitor antipiracy,bitvid.sx,0.185741216
markmonitor antipiracy,cloudtime.to,0.169384357
markmonitor antipiracy,daclips.com,0.228476754
markmonitor antipiracy,daclips.in,0
markmonitor antipiracy,divxstage.to,10.55862047
markmonitor antipiracy,estream.to,0
markmonitor antipiracy,gorillavid.com,5.244458876
markmonitor antipiracy,gorillavid.in,0
markmonitor antipiracy,movpod.in,17.3058852
markmonitor antipiracy,movpod.net,10.1316805
markmonitor antipiracy,movshare.net,0
markmonitor antipiracy,novamov.com,0
markmonitor antipiracy,nowvideo.sx,3.46177E-05
markmonitor antipiracy,openload.co,1.990724882
markmonitor antipiracy,speedvid.net,0.012479677
markmonitor antipiracy,streamango.com,0.562554772
markmonitor antipiracy,streamin.to,3.110728316
markmonitor antipiracy,streamplay.to,7.215070881
markmonitor antipiracy,thevideobee.to,4.37730305
markmonitor antipiracy,thevideo.me,1.73088E-05
markmonitor antipiracy,veehd.com,7.420873048
markmonitor antipiracy,veoh.com,0
markmonitor antipiracy,vidlox.tv,0.000311559
markmonitor antipiracy,vidtodo.com,3.077287628
markmonitor antipiracy,vidto.me,1.765138705
markmonitor antipiracy,vidup.me,5.43457923
markmonitor antipiracy,vidzi.tv,3.917199332
markmonitor antipiracy,watchers.to,15.18203799
mg premium ltd.,auroravid.to,0.034988063
mg premium ltd.,bitvid.sx,0.055569276
mg premium ltd.,cloudtime.to,0.052482094
mg premium ltd.,daclips.com,0.133777888
mg premium ltd.,daclips.in,0
mg premium ltd.,divxstage.to,2.631308142
mg premium ltd.,estream.to,0
mg premium ltd.,gorillavid.com,0.24388738
mg premium ltd.,gorillavid.in,0
mg premium ltd.,movpod.in,5.009467358
mg premium ltd.,movpod.net,2.354490821
mg premium ltd.,movshare.net,0
mg premium ltd.,novamov.com,0.001029061
mg premium ltd.,nowvideo.sx,0.002058121
mg premium ltd.,openload.co,0.36737466
mg premium ltd.,speedvid.net,72.78031613
mg premium ltd.,streamango.com,0.004116243
mg premium ltd.,streamin.to,1.071252161
mg premium ltd.,streamplay.to,1.48184737
mg premium ltd.,thevideobee.to,0.327241294
mg premium ltd.,thevideo.me,0.053511155
mg premium ltd.,veehd.com,3.262122335
mg premium ltd.,veoh.com,0.001029061
mg premium ltd.,vidlox.tv,0.001029061
mg premium ltd.,vidtodo.com,8.504157405
mg premium ltd.,vidto.me,0.04630773
mg premium ltd.,vidup.me,0.383839631
mg premium ltd.,vidzi.tv,0.831481024
mg premium ltd.,watchers.to,0.365316539
nbcuniversal,auroravid.to,5.004030063
nbcuniversal,bitvid.sx,0.454067832
nbcuniversal,cloudtime.to,0.196650195
nbcuniversal,daclips.com,0.135882753
nbcuniversal,daclips.in,0.039667636
nbcuniversal,divxstage.to,2.083816871
nbcuniversal,estream.to,0.001265988
nbcuniversal,gorillavid.com,8.636572716
nbcuniversal,gorillavid.in,0.020255814
nbcuniversal,movpod.in,2.934139065
nbcuniversal,movpod.net,2.011655533
nbcuniversal,movshare.net,0.040089632
nbcuniversal,novamov.com,0.010549903
nbcuniversal,nowvideo.sx,0.004219961
nbcuniversal,openload.co,1.1655533
nbcuniversal,speedvid.net,0.009283915
nbcuniversal,streamango.com,4.227557191
nbcuniversal,streamin.to,1.101831885
nbcuniversal,streamplay.to,6.826631332
nbcuniversal,thevideobee.to,5.125142951
nbcuniversal,thevideo.me,0.654937988
nbcuniversal,veehd.com,14.46096325
nbcuniversal,veoh.com,0.002953973
nbcuniversal,vidlox.tv,0
nbcuniversal,vidtodo.com,4.383273762
nbcuniversal,vidto.me,4.522954479
nbcuniversal,vidup.me,11.79901169
nbcuniversal,vidzi.tv,10.61235858
nbcuniversal,watchers.to,13.53468175
redacted,auroravid.to,2.925593699
redacted,bitvid.sx,0.047460963
redacted,cloudtime.to,0.022981098
redacted,daclips.com,0.105413298
redacted,daclips.in,0
redacted,divxstage.to,16.3445566
redacted,estream.to,0
redacted,gorillavid.com,2.014343203
redacted,gorillavid.in,0
redacted,movpod.in,25.49752828
redacted,movpod.net,13.47566626
redacted,movshare.net,0
redacted,novamov.com,0.012489727
redacted,nowvideo.sx,0.014238289
redacted,openload.co,0.880525768
redacted,speedvid.net,2.14448616
redacted,streamango.com,0.148877548
redacted,streamin.to,5.827956506
redacted,streamplay.to,3.033504942
redacted,thevideobee.to,2.205186234
