source,target
sd1,dp34
sd2,dp34
sd3,dp34
sd4,dp34
sd5,dp34
sd6,dp34
sd7,dp34
sd8,dp34
sd9,dp34
sd10,dp34
sd11,dp34
sd12,dp34
sd13,dp34
sd14,dp34
sd15,dp34
sd16,dp34
sd17,dp34
sd18,dp34
sd19,dp34
sd20,dp34
sd21,dp34
sd22,dp34
sd23,dp34
sd24,dp34
sd25,dp34
sd26,dp34
sd27,dp34
sd28,dp34
sd29,dp34
sd30,dp34
sd31,dp34
sd1,dp38
sd2,dp38
sd3,dp38
sd4,dp38
sd5,dp38
sd6,dp38
sd7,dp38
sd8,dp38
sd9,dp38
sd10,dp38
sd11,dp38
sd12,dp38
sd13,dp38
sd14,dp38
sd18,dp38
sd21,dp38
sd24,dp38
sd25,dp38
sd26,dp38
sd28,dp38
sd29,dp38
sd1,dp36
sd2,dp36
sd3,dp36
sd4,dp36
sd5,dp36
sd6,dp36
sd8,dp36
sd9,dp36
sd10,dp36
sd11,dp36
sd12,dp36
sd13,dp36
sd14,dp36
sd21,dp36
sd24,dp36
sd25,dp36
sd26,dp36
sd28,dp36
sd29,dp36
sd1,dp35
sd2,dp35
sd2,dp105
sd3,dp35
sd4,dp35
sd4,dp105
sd5,dp35
sd5,dp105
sd6,dp35
sd8,dp35
sd8,dp105
sd9,dp35
sd9,dp105
sd10,dp35
sd10,dp105
sd11,dp35
sd11,dp105
sd12,dp35
sd12,dp105
sd13,dp35
sd14,dp35
sd16,dp105
sd21,dp105
sd23,dp105
sd24,dp35
sd24,dp105
sd25,dp35
sd25,dp105
sd26,dp105
sd26,dp35
sd28,dp105
sd31,dp105
sd1,dp37
sd2,dp37
sd2,dp106
sd3,dp37
sd4,dp106
sd5,dp106
sd6,dp37
sd8,dp106
sd9,dp106
sd10,dp106
sd11,dp106
sd12,dp37
sd12,dp106
sd13,dp37
sd14,dp37
sd16,dp106
sd16,dp37
sd17,dp37
sd24,dp37
sd24,dp106
sd25,dp37
sd25,dp106
sd26,dp37
sd26,dp106
sd28,dp106
sd28,dp37
sd31,dp106
sd31,dp37
sd1,dp39
sd2,dp39
sd3,dp39
sd6,dp39
sd12,dp39
sd13,dp39
sd14,dp39
sd16,dp39
sd20,dp39
sd24,dp39
sd25,dp39
sd29,dp39
sd1,dp41
sd2,dp41
sd3,dp41
sd6,dp41
sd12,dp41
sd13,dp41
sd14,dp41
sd20,dp41
sd24,dp41
sd25,dp41
sd27,dp41
sd1,dp40
sd1,dp49
sd1,dp50
sd2,dp40
sd2,dp49
sd2,dp50
sd3,dp40
sd3,dp49
sd3,dp50
sd4,dp50
sd4,dp49
sd6,dp40
sd6,dp49
sd11,dp50
sd12,dp40
sd12,dp49
sd13,dp40
sd13,dp49
sd13,dp50
sd14,dp40
sd14,dp49
sd20,dp40
sd23,dp50
sd24,dp40
sd24,dp49
sd24,dp50
sd25,dp40
sd25,dp49
sd25,dp50
sd30,dp50
sd1,dp33
sd1,dp42
sd1,dp43
sd1,dp82
sd2,dp33
sd2,dp42
sd2,dp43
sd3,dp33
sd3,dp42
sd3,dp43
sd4,dp108
sd4,dp82
sd4,dp43
sd5,dp108
sd5,dp82
sd5,dp43
sd6,dp33
sd6,dp42
sd8,dp82
sd8,dp108
sd9,dp108
sd10,dp108
sd10,dp82
sd11,dp108
sd11,dp82
sd12,dp33
sd12,dp42
sd13,dp42
sd13,dp33
sd13,dp43
sd14,dp33
sd14,dp42
sd14,dp43
sd15,dp108
sd21,dp108
sd23,dp108
sd23,dp82
sd24,dp33
sd24,dp42
sd24,dp43
sd25,dp33
sd25,dp42
sd25,dp43
sd27,dp82
sd30,dp82
sd1,dp32
sd1,dp44
sd2,dp32
sd2,dp44
sd3,dp32
sd3,dp44
sd4,dp44
sd6,dp32
sd7,dp120
sd13,dp32
sd13,dp44
sd14,dp32
sd14,dp44
sd15,dp120
sd20,dp120
sd21,dp120
sd23,dp120
sd24,dp32
sd24,dp44
sd25,dp32
sd25,dp44
sd26,dp120
sd27,dp120
sd31,dp120
sd1,dp46
sd1,dp47
sd2,dp47
sd2,dp46
sd3,dp46
sd3,dp47
sd13,dp47
sd13,dp46
sd14,dp47
sd14,dp46
sd24,dp47
sd24,dp46
sd25,dp47
sd25,dp46
sd1,dp51
sd1,dp58
sd1,dp90
sd3,dp51
sd4,dp90
sd4,dp58
sd4,dp51
sd8,dp133
sd9,dp133
sd9,dp90
sd10,dp133
sd11,dp133
sd14,dp51
sd23,dp90
sd23,dp58
sd24,dp58
sd24,dp51
sd30,dp133
sd30,dp90
sd30,dp58
sd1,dp55
sd1,dp66
sd1,dp67
sd1,dp70
sd1,dp100
sd2,dp104
sd4,dp104
sd4,dp100
sd4,dp67
sd4,dp55
sd4,dp112
sd4,dp70
sd5,dp112
sd5,dp67
sd7,dp123
sd8,dp129
sd8,dp131
sd8,dp132
sd8,dp112
sd9,dp129
sd9,dp131
sd9,dp132
sd10,dp129
sd10,dp131
sd10,dp132
sd11,dp129
sd11,dp131
sd11,dp132
sd11,dp112
sd12,dp104
sd14,dp70
sd15,dp123
sd15,dp66
sd16,dp123
sd17,dp123
sd18,dp166
sd21,dp66
sd22,dp166
sd23,dp100
sd23,dp55
sd23,dp66
sd23,dp67
sd24,dp104
sd24,dp70
sd27,dp166
sd30,dp166
sd30,dp55
sd30,dp100
sd1,dp53
sd1,dp57
sd1,dp59
sd1,dp60
sd1,dp62
sd1,dp63
sd1,dp69
sd1,dp73
sd1,dp76
sd1,dp78
sd1,dp97
sd4,dp107
sd4,dp60
sd4,dp53
sd4,dp114
sd4,dp97
sd4,dp78
sd5,dp107
sd5,dp114
sd5,dp118
sd5,dp76
sd7,dp122
sd7,dp124
sd14,dp139
sd14,dp73
sd14,dp78
sd16,dp158
sd18,dp122
sd18,dp163
sd18,dp165
sd18,dp167
sd21,dp163
sd21,dp165
sd21,dp167
sd23,dp107
sd23,dp60
sd23,dp118
sd23,dp57
sd23,dp59
sd23,dp62
sd23,dp69
sd23,dp63
sd23,dp76
sd24,dp73
sd26,dp124
sd26,dp139
sd29,dp139
sd29,dp122
sd29,dp158
sd30,dp163
sd30,dp165
sd30,dp124
sd30,dp167
sd30,dp63
sd30,dp114
sd30,dp97
sd30,dp57
sd30,dp59
sd30,dp53
sd30,dp62
sd30,dp69
sd30,dp118
sd31,dp158
sd1,dp45
sd1,dp56
sd1,dp68
sd1,dp75
sd1,dp81
sd1,dp84
sd1,dp95
sd1,dp96
sd1,dp101
sd4,dp96
sd4,dp110
sd4,dp68
sd4,dp115
sd4,dp101
sd5,dp110
sd5,dp81
sd5,dp84
sd7,dp126
sd8,dp127
sd8,dp128
sd8,dp130
sd9,dp127
sd9,dp128
sd9,dp130
sd10,dp136
sd11,dp136
sd14,dp140
