SS1,SS2,link
auroravid.to,auroravid.to,100
auroravid.to,bitvid.sx,53.01204819
auroravid.to,cloudtime.to,67.04545455
auroravid.to,daclips.co,11.65048544
auroravid.to,daclips.in,11.65048544
auroravid.to,divxstage.to,67.04545455
auroravid.to,estream.to,32.29813665
auroravid.to,gorillavid.co,6.707317073
auroravid.to,gorillavid.in,6.707317073
auroravid.to,movpod.in,13.37579618
auroravid.to,movpod.ne,13.37579618
auroravid.to,movshare.ne,47.11538462
auroravid.to,novamov.co,100
auroravid.to,nowvideo.sx,63.69426752
auroravid.to,openload.co,41.55844156
auroravid.to,speedvid.ne,21.53846154
auroravid.to,streamango.co,9.726443769
auroravid.to,streamflv.co,5.042016807
auroravid.to,streamin.to,27.20588235
auroravid.to,streamplay.to,39.62264151
auroravid.to,thevideo.me,33.99209486
auroravid.to,thevideobee.to,24.81751825
auroravid.to,veehd.co,4.701627486
auroravid.to,veoh.co,11.35646688
auroravid.to,videoweed.co,53.01204819
auroravid.to,videoweed.es,53.01204819
auroravid.to,vidlox.tv,25.92592593
auroravid.to,vidto.me,6.146572104
auroravid.to,vidtodo.co,21.62162162
auroravid.to,vidup.me,9.418282548
auroravid.to,vidzi.tv,23.52941176
auroravid.to,watchers.to,10.23890785
bitvid.sx,auroravid.to,56.62650602
bitvid.sx,bitvid.sx,100
bitvid.sx,cloudtime.to,79.06976744
bitvid.sx,daclips.co,8.524590164
bitvid.sx,daclips.in,8.524590164
bitvid.sx,divxstage.to,79.06976744
bitvid.sx,estream.to,39.49044586
bitvid.sx,gorillavid.co,6.790123457
bitvid.sx,gorillavid.in,6.790123457
bitvid.sx,movpod.in,8.387096774
bitvid.sx,movpod.ne,8.387096774
bitvid.sx,movshare.ne,41.17647059
bitvid.sx,novamov.co,56.62650602
bitvid.sx,nowvideo.sx,75.81699346
bitvid.sx,openload.co,34.36123348
bitvid.sx,speedvid.ne,23.4375
bitvid.sx,streamango.co,8.615384615
bitvid.sx,streamflv.co,9.631728045
bitvid.sx,streamin.to,30.59701493
bitvid.sx,streamplay.to,38.46153846
bitvid.sx,thevideo.me,25.70281124
bitvid.sx,thevideobee.to,21.48148148
bitvid.sx,veehd.co,5.464480874
bitvid.sx,veoh.co,5.111821086
bitvid.sx,videoweed.co,100
bitvid.sx,videoweed.es,100
bitvid.sx,vidlox.tv,37.73584906
bitvid.sx,vidto.me,3.818615752
bitvid.sx,vidtodo.co,18.82352941
bitvid.sx,vidup.me,12.88515406
bitvid.sx,vidzi.tv,25.30120482
